owner,control,device,type,css,expected,status,detail
loop-carousel,navigation_next_icon_vertical_position,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,navigation_previous_icon_horizontal_position,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,navigation_previous_icon_vertical_position,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,progressbar_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,progressbar_hover_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,progressbar_normal_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,slides_to_show,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_font_family,,font,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_font_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_font_style,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_font_weight,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_letter_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_line_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_text_decoration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_text_transform,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-carousel,typography_fraction_word_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,columns,,number,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,equal_height,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_align,,choose,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_space_from_bottom,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_space_from_top,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_text_shadow_text_shadow,,text_shadow,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_text_stroke_stroke_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_text_stroke_text_stroke,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_font_family,,font,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_font_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_font_style,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_font_weight,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_letter_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_line_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_text_decoration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_text_transform,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
loop-grid,nothing_found_message_typography_word_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
media-carousel,icon_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
mega-menu,open_animation_duration,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,fraction_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,fraction_horizontal_offset,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,fraction_pagination_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,fraction_vertical_offset,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,progressbar_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,progressbar_hover_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,progressbar_normal_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_font_family,,font,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_font_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_font_style,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_font_weight,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_letter_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_line_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_text_decoration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_text_transform,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
nested-carousel,typography_fraction_word_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
off-canvas,offcanvas_animation_duration,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
posts,cards_read_more_alignment,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
posts,classic_read_more_alignment,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,equal_height,,switcher,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_alignment,,choose,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_space_from_bottom,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_space_from_top,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_text_shadow_text_shadow,,text_shadow,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_text_stroke_stroke_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_text_stroke_text_stroke,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_font_family,,font,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_font_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_font_style,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_font_weight,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_letter_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_line_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_text_decoration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_text_transform,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,nothing_found_message_typography_word_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,number_of_columns,,number,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,search_result_loader_icon_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
search,search_result_loader_icon_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_align,,choose,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_background_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_space,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_text_shadow_text_shadow,,text_shadow,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_font_family,,font,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_font_size,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_font_style,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_font_weight,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_letter_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_line_height,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_text_decoration,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_text_transform,,select,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,caption_typography_word_spacing,,slider,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
theme-site-logo,text_color,,color,,,skipped,"its dependency chain cannot be satisfied (contradictory, or a dependency we cannot synthesise)"
accordion,_element_width,,select,width|max-width,inherit,property,property present but not the value 'inherit'
accordion,_element_width_mobile,mobile,select,width|max-width,inherit,property,property present but not the value 'inherit'
accordion,_element_width_tablet,tablet,select,width|max-width,inherit,property,property present but not the value 'inherit'
accordion,_grid_column_custom,,text,grid-column,,property,
accordion,_grid_column_custom_mobile,mobile,text,grid-column,,property,
accordion,_grid_column_custom_tablet,tablet,text,grid-column,,property,
accordion,_grid_row_custom,,text,grid-row,,property,
accordion,_grid_row_custom_mobile,mobile,text,grid-row,,property,
accordion,_grid_row_custom_tablet,tablet,text,grid-row,,property,
accordion,_transform_flipX_effect,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
accordion,_transform_flipX_effect_hover,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
accordion,_transform_flipY_effect,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
accordion,_transform_flipY_effect_hover,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
accordion,_transform_rotate_3d,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
accordion,_transform_rotate_3d_hover,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
alert,_element_width,,select,width|max-width,inherit,property,property present but not the value 'inherit'
alert,_element_width_mobile,mobile,select,width|max-width,inherit,property,property present but not the value 'inherit'
alert,_element_width_tablet,tablet,select,width|max-width,inherit,property,property present but not the value 'inherit'
alert,_grid_column_custom,,text,grid-column,,property,
alert,_grid_column_custom_mobile,mobile,text,grid-column,,property,
alert,_grid_column_custom_tablet,tablet,text,grid-column,,property,
alert,_grid_row_custom,,text,grid-row,,property,
alert,_grid_row_custom_mobile,mobile,text,grid-row,,property,
alert,_grid_row_custom_tablet,tablet,text,grid-row,,property,
alert,_transform_flipX_effect,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
alert,_transform_flipX_effect_hover,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
alert,_transform_flipY_effect,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
alert,_transform_flipY_effect_hover,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
alert,_transform_rotate_3d,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
alert,_transform_rotate_3d_hover,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
animated-headline,_element_width,,select,width|max-width,inherit,property,property present but not the value 'inherit'
animated-headline,_element_width_mobile,mobile,select,width|max-width,inherit,property,property present but not the value 'inherit'
animated-headline,_element_width_tablet,tablet,select,width|max-width,inherit,property,property present but not the value 'inherit'
animated-headline,_grid_column_custom,,text,grid-column,,property,
animated-headline,_grid_column_custom_mobile,mobile,text,grid-column,,property,
animated-headline,_grid_column_custom_tablet,tablet,text,grid-column,,property,
animated-headline,_grid_row_custom,,text,grid-row,,property,
animated-headline,_grid_row_custom_mobile,mobile,text,grid-row,,property,
animated-headline,_grid_row_custom_tablet,tablet,text,grid-row,,property,
animated-headline,_transform_flipX_effect,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
animated-headline,_transform_flipX_effect_hover,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
animated-headline,_transform_flipY_effect,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
animated-headline,_transform_flipY_effect_hover,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
animated-headline,_transform_rotate_3d,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
animated-headline,_transform_rotate_3d_hover,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
animated-headline,above_content,,switcher,z-index,,property,
animated-headline,loop,,switcher,--iteration-count,,property,
animated-headline,rounded_edges,,switcher,stroke-linecap|stroke-linejoin,,property,
archive-posts,_element_width,,select,width|max-width,inherit,property,property present but not the value 'inherit'
archive-posts,_element_width_mobile,mobile,select,width|max-width,inherit,property,property present but not the value 'inherit'
archive-posts,_element_width_tablet,tablet,select,width|max-width,inherit,property,property present but not the value 'inherit'
archive-posts,_grid_column_custom,,text,grid-column,,property,
archive-posts,_grid_column_custom_mobile,mobile,text,grid-column,,property,
archive-posts,_grid_column_custom_tablet,tablet,text,grid-column,,property,
archive-posts,_grid_row_custom,,text,grid-row,,property,
archive-posts,_grid_row_custom_mobile,mobile,text,grid-row,,property,
archive-posts,_grid_row_custom_tablet,tablet,text,grid-row,,property,
archive-posts,_transform_flipX_effect,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
archive-posts,_transform_flipX_effect_hover,,choose,--e-transform-flipX,transform,property,property present but not the value 'transform'
archive-posts,_transform_flipY_effect,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
archive-posts,_transform_flipY_effect_hover,,choose,--e-transform-flipY,transform,property,property present but not the value 'transform'
archive-posts,_transform_rotate_3d,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
archive-posts,_transform_rotate_3d_hover,,switcher,--e-transform-rotateX|--e-transform-perspective,,property,
archive-posts,archive_cards_meta_separator,,text,content,,property,
archive-posts,archive_classic_meta_separator,,text,content,,property,
archive-posts,archive_full_content_meta_separator,,text,content,,property,
audio,_element_width,,select,width|max-width,inherit,property,property present but not the value 'inherit'
audio,_element_width_mobile,mobile,select,width|max-width,inherit,property,property present but not the value 'inherit'
audio,_element_width_tablet,tablet,select,width|max-width,inherit,property,property present but not the value 'inherit'
